Time (s),X (in),Y (in)
63.567000,3.401772,0.003773
63.599000,3.402526,0.012007
63.631000,3.407325,0.015758
63.663000,3.407689,0.016105
63.696000,3.402076,0.029579
63.727000,3.400935,0.031418
63.759000,3.406574,0.035599
63.791000,3.407796,0.035818
63.823000,3.402383,0.039610
63.855000,3.400808,0.044116
63.887000,3.405350,0.044560
63.919000,3.406970,0.048623
63.967000,3.402525,0.051302
63.999000,3.400831,0.054628
64.031000,3.403751,0.059262
64.063000,3.407450,0.058886
64.095000,3.403697,0.060736
64.126000,3.401129,0.066192
64.159000,3.402040,0.065572
64.191000,3.405930,0.069059
64.223000,3.402566,0.074901
64.255000,3.400543,0.080016
64.287000,3.401360,0.083289
64.319000,3.405005,0.082444
64.367000,3.403787,0.085477
64.399000,3.401612,0.090500
64.431000,3.400411,0.092426
64.463000,3.404075,0.094267
64.495000,3.403724,0.096502
64.527000,3.401608,0.103338
64.559000,3.400898,0.104407
64.590000,3.404407,0.108512
64.623000,3.405069,0.109419
64.655000,3.402685,0.111443
64.687000,3.401978,0.115650
64.719000,3.403994,0.117377
64.767000,3.404568,0.120115
64.798000,3.402132,0.122294
64.831000,3.402314,0.127627
64.863000,3.403260,0.128970
64.895000,3.405692,0.131202
64.927000,3.403755,0.135049
64.959000,3.402426,0.140588
64.991000,3.402288,0.142311
65.023000,3.405167,0.145807
65.055000,3.404090,0.149646
65.087000,3.402521,0.151923
65.119000,3.402905,0.154774
65.167000,3.404297,0.158403
65.199000,3.404220,0.159647
65.230000,3.402540,0.162840
65.263000,3.403301,0.163229
65.295000,3.405520,0.167017
65.327000,3.406083,0.170527
65.359000,3.404809,0.170531
65.390000,3.404116,0.176948
65.423000,3.403951,0.179326
65.455000,3.404122,0.182061
65.487000,3.404375,0.185427
65.519000,3.405051,0.188894
65.567000,3.405644,0.190344
65.599000,3.405998,0.192360
65.631000,3.403681,0.195782
65.663000,3.403294,0.199761
65.695000,3.405421,0.207381
65.727000,3.405121,0.206746
65.759000,3.405297,0.211237
65.791000,3.404939,0.214836
65.823000,3.405206,0.213672
65.855000,3.404959,0.218976
65.887000,3.404042,0.219393
65.919000,3.404629,0.220299
65.966000,3.406771,0.226422
65.999000,3.408774,0.229847
66.030000,3.406915,0.231544
66.063000,3.403961,0.234200
66.095000,3.404400,0.237553
66.127000,3.406390,0.242003
66.159000,3.407627,0.241628
66.190000,3.407492,0.245482
66.223000,3.406222,0.249758
66.255000,3.405838,0.253940
66.287000,3.404825,0.256151
66.319000,3.405181,0.257218
66.367000,3.405807,0.259813
66.399000,3.406934,0.264778
66.430000,3.406443,0.266223
66.463000,3.405743,0.271442
66.495000,3.404381,0.270559
66.527000,3.405278,0.273001
66.559000,3.405177,0.275433
66.591000,3.404993,0.281002
66.623000,3.406249,0.282263
66.655000,3.407114,0.284957
66.687000,3.405960,0.288418
66.719000,3.405872,0.291972
66.767000,3.406090,0.294233
66.799000,3.406645,0.297114
66.831000,3.406723,0.302240
66.863000,3.406082,0.304923
66.895000,3.405379,0.307060
66.927000,3.405710,0.309414
66.959000,3.405729,0.313822
66.991000,3.405901,0.316440
67.023000,3.406528,0.318281
67.055000,3.408926,0.319744
67.088000,3.408554,0.321007
67.119000,3.405378,0.323625
67.167000,3.404513,0.327454
67.199000,3.406079,0.329098
67.231000,3.408280,0.331328
67.263000,3.406944,0.334375
