Time (s),X (in),Y (in)
15.855000,3.552227,-1.075075
15.888000,3.321992,-1.084590
15.919000,3.324575,-1.079757
15.968000,3.558347,-1.038094
15.999000,3.798501,-0.997883
16.031000,3.550628,-1.009134
16.064000,3.550580,-0.996439
16.095000,3.557179,-0.977067
16.127000,3.558961,-0.966710
16.159000,3.553479,-0.952740
16.191000,3.550558,-0.937086
16.223000,3.553325,-0.917061
16.255000,3.556504,-0.913130
16.287000,3.557458,-0.895483
16.319000,3.553039,-0.883689
16.367000,3.552644,-0.865688
16.399000,3.555429,-0.854497
16.431000,3.558643,-0.840661
16.463000,3.555100,-0.831466
16.495000,3.553014,-0.808606
16.527000,3.554200,-0.801334
16.560000,3.557656,-0.782520
16.592000,3.556176,-0.775092
16.624000,3.554953,-0.754107
16.656000,3.555820,-0.740605
16.688000,3.558937,-0.722262
16.719000,3.558624,-0.716044
16.767000,3.556094,-0.696309
16.799000,3.555657,-0.686165
16.831000,3.558354,-0.671832
16.863000,3.558589,-0.659935
16.895000,3.557581,-0.645352
16.927000,3.556180,-0.629033
16.959000,3.557837,-0.605379
16.991000,3.560054,-0.601988
17.023000,3.558859,-0.578300
17.056000,3.558420,-0.563856
17.087000,3.559996,-0.551337
17.119000,3.329809,-0.563732
17.167000,3.329965,-0.558731
17.199000,3.559336,-0.514314
17.231000,3.558500,-0.493103
17.263000,3.559159,-0.486789
17.295000,3.559473,-0.468492
17.328000,3.560403,-0.448555
17.359000,3.559134,-0.436412
17.391000,3.560619,-0.426681
17.424000,3.561461,-0.410287
17.455000,3.560290,-0.389672
17.487000,3.557969,-0.375887
17.520000,3.559195,-0.367494
17.567000,3.560144,-0.352279
17.600000,3.561041,-0.334887
17.632000,3.559178,-0.325724
17.664000,3.559332,-0.310874
17.696000,3.560317,-0.296354
17.727000,3.560111,-0.278895
17.759000,3.558983,-0.269563
17.791000,3.559970,-0.255545
17.823000,3.560493,-0.244242
17.855000,3.560929,-0.226219
17.887000,3.559248,-0.212927
17.920000,3.560138,-0.199714
17.968000,3.559765,-0.189321
17.999000,3.562210,-0.171663
18.032000,3.561491,-0.159790
18.064000,3.560387,-0.143853
18.095000,3.560370,-0.133918
18.128000,3.563365,-0.118926
18.159000,3.564095,-0.104675
18.192000,3.560035,-0.093383
18.223000,3.559466,-0.080082
18.255000,3.560908,-0.063531
18.287000,3.564014,-0.047659
18.319000,3.561775,-0.038009
18.368000,3.559888,-0.025561
18.399000,3.561510,-0.016765
18.432000,3.564008,-0.001396
18.463000,3.563634,0.011591
18.496000,3.559863,0.019780
18.527000,3.560187,0.030456
18.560000,3.563057,0.043962
18.592000,3.564761,0.061636
18.624000,3.562580,0.076335
18.655000,3.559809,0.091986
18.687000,3.562020,0.106304
18.719000,3.563272,0.123313
18.767000,3.561598,0.136547
18.799000,3.559987,0.146286
18.832000,3.562619,0.161327
18.863000,3.564240,0.178426
18.895000,3.563568,0.191634
18.927000,3.561340,0.206573
18.959000,3.561488,0.218139
18.991000,3.563624,0.233952
19.024000,3.563517,0.244545
19.055000,3.562699,0.258932
19.088000,3.562066,0.269408
19.119000,3.563485,0.287244
19.167000,3.562812,0.297133
19.199000,3.562991,0.312688
19.232000,3.561973,0.323481
19.264000,3.563451,0.339223
19.295000,3.563121,0.353092
19.328000,3.562384,0.368926
19.359000,3.562106,0.376600
19.391000,3.563256,0.394111
19.424000,3.562963,0.408388
19.456000,3.562472,0.426414
19.487000,3.561555,0.435100
19.519000,3.563327,0.452140
19.567000,3.563553,0.465081
19.599000,3.562841,0.475029
19.632000,3.562490,0.486187
19.664000,3.562344,0.500270
19.695000,3.562784,0.509660
19.728000,3.562521,0.516392
19.759000,3.562076,0.528703
19.792000,3.562267,0.538320
19.823000,3.562886,0.554537
19.856000,3.562970,0.561297
19.888000,3.560963,0.579438
19.920000,3.561843,0.603632
19.967000,3.561928,0.618700
19.999000,3.562340,0.624646
20.032000,3.562292,0.639612
20.063000,3.561768,0.651313
20.095000,3.561796,0.671248
20.127000,3.562152,0.677797
20.160000,3.561844,0.692199
20.191000,3.561847,0.703499
20.223000,3.561874,0.725047
20.256000,3.562270,0.731536
20.287000,3.562338,0.747204
20.319000,3.562028,0.755798
20.367000,3.561863,0.777781
20.400000,3.562009,0.786277
20.431000,3.562214,0.800760
20.464000,3.561509,0.811797
20.496000,3.561958,0.833994
