Time (s),X (in),Y (in)
2.558000,0.000000,0.000000
2.590000,0.000000,0.000000
2.623000,0.000000,0.000000
2.671000,0.000000,0.000000
2.703000,0.000000,0.000000
2.735000,0.000000,0.000000
2.767000,0.000000,0.000000
2.799000,0.000000,0.000000
2.831000,0.000000,0.000000
2.862000,0.000000,0.000000
2.894000,0.000000,0.000000
2.927000,2.977146,-2.844973
2.959000,2.951869,-2.822190
2.991000,2.957964,-2.802442
3.023000,2.964505,-2.781838
3.071000,2.965947,-2.763470
3.103000,2.961450,-2.744092
3.134000,2.956503,-2.725624
3.167000,2.964751,-2.710522
3.199000,2.962510,-2.684981
3.231000,2.957969,-2.662822
3.263000,2.961648,-2.641264
3.294000,2.959884,-2.623666
3.327000,2.957624,-2.600534
3.359000,2.956398,-2.578807
3.391000,2.957227,-2.559377
3.423000,2.956666,-2.541094
3.470000,2.957822,-2.520953
3.503000,2.957948,-2.501338
3.534000,2.959036,-2.486264
3.567000,2.958072,-2.469078
3.599000,2.957711,-2.451220
3.631000,2.959754,-2.429443
3.663000,2.956363,-2.402917
3.694000,2.956800,-2.383281
3.727000,2.958543,-2.368482
3.759000,2.956975,-2.347239
3.791000,2.955303,-2.329057
3.823000,2.955418,-2.316762
3.871000,2.955184,-2.297734
3.903000,2.957104,-2.274315
3.935000,2.956918,-2.256926
3.967000,2.956110,-2.236340
3.999000,2.954371,-2.219059
4.030000,2.954959,-2.207446
4.063000,2.954852,-2.178673
4.094000,2.953266,-2.153999
4.127000,2.953406,-2.132215
4.159000,2.951214,-2.112945
4.191000,2.953153,-2.092787
4.222000,2.951659,-2.066261
4.271000,2.948868,-2.052823
4.303000,2.947872,-2.035460
4.334000,2.949960,-2.017133
4.367000,2.953863,-2.006711
4.399000,2.954529,-1.991425
4.431000,2.950717,-1.975585
4.463000,2.945541,-1.959911
4.495000,2.943876,-1.945563
4.527000,2.947897,-1.918250
4.559000,2.950482,-1.894738
4.591000,2.949737,-1.867970
4.622000,2.946056,-1.852802
4.671000,2.946953,-1.821480
4.703000,2.950680,-1.792336
4.734000,2.952877,-1.753167
4.767000,2.952249,-1.715164
4.798000,2.950793,-1.675405
4.831000,2.952005,-1.638312
4.863000,2.952501,-1.600344
4.895000,2.952636,-1.561304
4.927000,2.951730,-1.529386
4.958000,2.952967,-1.491028
4.990000,2.953754,-1.451099
5.023000,2.954366,-1.403065
5.071000,2.954394,-1.372014
5.103000,2.955536,-1.328926
5.134000,2.957233,-1.288485
5.167000,2.956496,-1.259550
5.199000,2.955915,-1.220683
5.231000,2.956335,-1.181116
5.263000,2.956774,-1.144975
5.294000,2.957135,-1.099779
5.327000,2.958267,-1.051445
5.359000,2.957703,-1.028003
5.391000,2.958791,-0.998863
5.423000,2.958863,-0.943546
5.471000,2.958707,-0.910325
5.503000,2.959180,-0.862620
5.534000,2.959134,-0.824035
5.567000,2.959139,-0.782845
5.598000,2.959263,-0.745914
5.630000,2.959104,-0.706657
5.663000,2.959088,-0.665408
