Time (s),X (in),Y (in)
83.263000,2.804853,-1.343480
83.295000,2.807283,-1.340782
83.327000,2.810593,-1.337494
83.359000,2.810168,-1.333533
83.391000,2.805678,-1.329038
83.423000,2.805249,-1.326850
83.456000,2.808836,-1.323674
83.487000,2.809472,-1.320739
83.520000,2.805977,-1.319677
83.551000,2.804962,-1.317158
83.583000,2.808980,-1.315133
83.616000,2.808950,-1.311744
83.663000,2.804961,-1.307719
83.695000,2.803365,-1.303034
83.727000,2.806242,-1.300519
83.760000,2.808794,-1.299420
83.792000,2.807843,-1.299010
83.823000,2.804569,-1.298266
83.855000,2.804837,-1.293738
83.888000,2.808398,-1.288691
83.919000,2.808457,-1.284883
83.952000,2.806357,-1.281670
83.983000,2.806691,-1.276630
84.016000,2.808078,-1.274659
84.063000,2.807458,-1.272155
84.095000,2.805200,-1.268821
84.128000,2.805218,-1.266019
84.159000,2.808221,-1.264401
84.192000,2.808629,-1.263122
84.223000,2.806105,-1.259155
84.255000,2.803770,-1.254102
84.287000,2.806744,-1.250166
84.319000,2.808468,-1.248470
84.351000,2.807204,-1.247092
84.383000,2.805860,-1.245850
84.416000,2.806443,-1.244022
84.464000,2.807213,-1.241077
84.496000,2.807204,-1.235681
84.528000,2.805241,-1.232984
84.560000,2.806343,-1.229181
84.591000,2.807639,-1.225303
84.624000,2.807552,-1.222417
84.656000,2.805862,-1.217679
84.688000,2.805782,-1.214587
84.720000,2.808358,-1.212958
84.751000,2.808535,-1.211649
84.783000,2.806113,-1.208425
84.815000,2.804930,-1.204546
84.847000,2.806015,-1.201687
84.896000,2.807678,-1.198402
84.927000,2.807232,-1.195831
84.959000,2.806151,-1.195009
84.991000,2.807428,-1.192800
85.024000,2.807796,-1.189627
85.055000,2.806952,-1.186141
85.087000,2.806015,-1.183605
85.119000,2.807233,-1.180740
85.151000,2.807586,-1.177003
85.183000,2.806412,-1.170403
85.215000,2.805446,-1.165675
85.247000,2.806911,-1.162706
85.295000,2.808039,-1.161701
85.328000,2.807563,-1.159601
85.360000,2.807525,-1.157921
85.392000,2.807335,-1.154951
85.424000,2.807128,-1.151808
85.455000,2.806468,-1.149868
85.488000,2.806182,-1.144953
85.519000,2.806807,-1.144065
85.551000,2.807679,-1.142531
85.583000,2.806910,-1.138513
85.615000,2.806810,-1.137109
85.647000,2.807167,-1.131564
85.696000,2.807160,-1.129843
85.728000,2.807593,-1.125997
85.759000,2.807002,-1.116322
85.791000,2.806784,-1.114471
85.824000,2.806536,-1.110473
85.856000,2.806541,-1.106778
85.888000,2.806277,-1.105565
85.920000,2.805943,-1.097670
85.951000,2.807273,-1.094969
85.983000,2.806900,-1.091640
86.015000,2.807153,-1.088373
86.048000,2.807706,-1.084175
86.096000,2.807848,-1.082806
86.127000,2.808058,-1.079314
86.160000,2.807397,-1.079153
86.191000,2.807410,-1.074905
86.223000,2.807491,-1.069914
86.256000,2.806917,-1.068546
86.288000,2.807953,-1.063956
86.320000,2.808124,-1.059832
86.351000,2.808652,-1.054309
86.383000,2.808639,-1.051697
86.416000,2.809311,-1.049197
86.448000,2.808884,-1.047256
86.495000,2.808602,-1.045874
86.528000,2.809339,-1.044234
86.560000,2.809776,-1.043109
86.591000,2.809365,-1.040259
86.623000,2.808352,-1.037257
86.655000,2.808989,-1.034446
86.687000,2.809611,-1.032341
86.719000,2.809641,-1.031086
86.751000,2.809311,-1.029622
86.784000,2.808787,-1.028191
86.816000,2.809350,-1.025332
86.848000,2.809451,-1.022195
86.896000,2.809779,-1.016780
86.928000,2.809381,-1.008815
86.959000,2.810087,-1.006860
86.991000,2.809829,-1.002556
87.024000,2.806819,-1.000883
87.056000,2.804235,-0.998697
87.088000,2.809940,-0.997991
87.119000,2.810941,-0.994662
87.151000,2.808606,-0.988703
87.183000,2.805288,-0.977281
87.215000,2.808604,-0.977224
87.248000,2.812691,-0.975154
87.296000,2.813724,-0.972250
87.328000,2.813423,-0.970996
87.359000,2.813605,-0.968079
87.391000,2.813682,-0.964735
87.423000,2.813338,-0.959771
87.456000,2.812823,-0.954600
87.487000,2.812660,-0.950983
87.520000,2.813684,-0.946833
87.551000,2.814235,-0.942632
87.584000,2.813839,-0.941806
87.616000,2.813197,-0.941528
87.648000,2.813720,-0.938940
87.696000,2.813881,-0.936137
87.728000,2.813475,-0.932927
87.760000,2.812614,-0.930037
87.791000,2.812450,-0.927109
87.823000,2.813169,-0.924988
87.855000,2.812456,-0.923819
87.888000,2.812525,-0.920618
87.919000,2.812652,-0.916435
87.951000,2.812686,-0.912525
87.983000,2.813097,-0.906071
88.015000,2.812226,-0.902730
88.048000,2.811783,-0.898962
88.096000,2.812448,-0.896382
88.128000,2.812871,-0.894034
88.159000,2.812685,-0.892674
88.192000,2.811995,-0.891696
88.223000,2.812994,-0.888030
88.256000,2.812325,-0.883879
88.288000,2.812002,-0.879363
88.319000,2.812668,-0.875404
88.352000,2.812901,-0.874718
88.383000,2.812937,-0.873278
88.416000,2.812079,-0.870739
88.447000,2.811749,-0.866641
88.496000,2.812075,-0.863254
88.528000,2.812288,-0.861336
88.560000,2.810384,-0.856228
88.591000,2.807979,-0.848774
88.624000,2.808664,-0.846480
88.656000,2.810184,-0.842836
88.688000,2.808535,-0.839938
88.720000,2.808717,-0.838222
88.751000,2.809274,-0.838180
88.783000,2.809536,-0.833967
88.815000,2.808346,-0.827931
88.848000,2.808022,-0.825794
88.896000,2.810813,-0.823052
88.928000,2.811659,-0.821677
88.960000,2.811472,-0.820163
88.991000,2.810185,-0.815633
89.024000,2.809675,-0.812092
89.056000,2.810752,-0.808706
89.088000,2.811131,-0.805361
89.120000,2.810153,-0.798778
89.152000,2.809529,-0.795260
89.183000,2.810317,-0.793625
89.216000,2.811116,-0.790228
89.248000,2.810127,-0.788309
89.296000,2.810213,-0.785573
89.327000,2.811162,-0.783362
89.359000,2.810976,-0.780117
89.392000,2.809084,-0.776674
89.423000,2.807696,-0.773116
89.456000,2.808966,-0.770439
89.487000,2.810599,-0.768448
89.520000,2.809840,-0.765817
89.551000,2.808740,-0.761910
89.583000,2.808504,-0.758409
89.615000,2.809387,-0.755350
