Time (s),X (in),Y (in)
47.537000,3.411048,-1.032370
47.569000,3.410003,-1.033365
47.600000,3.412646,-1.035639
47.632000,3.410648,-1.019155
47.665000,3.409428,-1.018103
47.696000,3.410383,-1.014338
47.728000,3.411399,-1.011679
47.777000,3.411667,-1.009449
47.809000,3.410783,-1.009660
47.840000,3.408556,-1.007433
47.873000,3.408823,-1.008334
47.904000,3.408973,-1.001436
47.936000,3.409920,-0.999425
47.968000,3.411179,-0.998019
48.000000,3.409846,-0.990014
48.032000,3.408710,-0.990617
48.064000,3.407321,-0.983984
48.096000,3.409328,-0.980852
48.129000,3.410546,-0.978834
48.176000,3.409032,-0.971090
48.209000,3.408150,-0.970093
48.240000,3.407413,-0.967549
48.273000,3.409453,-0.962399
48.305000,3.411837,-0.947761
48.336000,3.412579,-0.944371
48.368000,3.412065,-0.948523
48.400000,3.412935,-0.946063
48.432000,3.412617,-0.944249
48.464000,3.412849,-0.935792
48.496000,3.411899,-0.936807
48.528000,3.412548,-0.928571
48.576000,3.413287,-0.925077
48.608000,3.412681,-0.922392
48.641000,3.411202,-0.923411
48.673000,3.411333,-0.920136
48.705000,3.412346,-0.916989
48.737000,3.413158,-0.911249
48.768000,3.413695,-0.905431
48.801000,3.412377,-0.906767
48.833000,3.412091,-0.903025
48.865000,3.412054,-0.900168
48.896000,3.411722,-0.897479
48.929000,3.412718,-0.895928
48.976000,3.412742,-0.893864
49.008000,3.413214,-0.889399
49.040000,3.412000,-0.887101
49.073000,3.411353,-0.884275
49.105000,3.411473,-0.878191
49.136000,3.411444,-0.881577
49.169000,3.410899,-0.874551
49.200000,3.409297,-0.871039
49.232000,3.409587,-0.866813
49.264000,3.411634,-0.864463
49.297000,3.412874,-0.859894
49.328000,3.414450,-0.853234
49.377000,3.414229,-0.852974
49.408000,3.414251,-0.853975
49.440000,3.413568,-0.851544
49.473000,3.414081,-0.848546
49.505000,3.413611,-0.845742
49.536000,3.413791,-0.841666
49.568000,3.414023,-0.827856
49.600000,3.414503,-0.832936
49.632000,3.413849,-0.826347
49.665000,3.413779,-0.820274
49.696000,3.414278,-0.818878
49.728000,3.413611,-0.819610
49.776000,3.413564,-0.812691
49.809000,3.413270,-0.815270
49.840000,3.414521,-0.812474
49.872000,3.413848,-0.810772
49.904000,3.413160,-0.806313
49.936000,3.413852,-0.800689
49.969000,3.415041,-0.797445
50.000000,3.415857,-0.789303
50.032000,3.414471,-0.791383
50.064000,3.414295,-0.789139
50.097000,3.414595,-0.788750
50.128000,3.413385,-0.785009
50.176000,3.412521,-0.780845
50.208000,3.413667,-0.778445
50.240000,3.413818,-0.772422
50.273000,3.414330,-0.766917
50.305000,3.413845,-0.764822
50.336000,3.414039,-0.760388
50.368000,3.414804,-0.757344
50.400000,3.414771,-0.754315
50.432000,3.413490,-0.751431
50.465000,3.411238,-0.748717
50.497000,3.411866,-0.746527
50.528000,3.413122,-0.743366
50.577000,3.413257,-0.740693
50.608000,3.413510,-0.735836
50.640000,3.414362,-0.728719
50.673000,3.414599,-0.727253
50.705000,3.413833,-0.726020
50.736000,3.412792,-0.721170
50.768000,3.412915,-0.717093
50.800000,3.414209,-0.714368
50.832000,3.413941,-0.712807
50.864000,3.412907,-0.709662
50.896000,3.413479,-0.704720
50.928000,3.414717,-0.701467
50.977000,3.415026,-0.697662
51.008000,3.414405,-0.695658
51.040000,3.412792,-0.692212
51.072000,3.413839,-0.688971
51.105000,3.414339,-0.685692
51.136000,3.413115,-0.676685
51.169000,3.411735,-0.675216
51.200000,3.412832,-0.671845
51.232000,3.413620,-0.671678
51.264000,3.414135,-0.667789
51.296000,3.413286,-0.661557
51.328000,3.413407,-0.657784
51.376000,3.413997,-0.654312
51.408000,3.413538,-0.641527
51.440000,3.413837,-0.643812
51.473000,3.413531,-0.644351
51.504000,3.413988,-0.638756
51.536000,3.414011,-0.638551
51.569000,3.414141,-0.631829
51.600000,3.413973,-0.627939
51.633000,3.414282,-0.624854
51.665000,3.413465,-0.624586
51.696000,3.412208,-0.609940
51.728000,3.413203,-0.611558
51.776000,3.412934,-0.605446
51.809000,3.413188,-0.602144
51.841000,3.412428,-0.596370
51.872000,3.412982,-0.597389
51.905000,3.412978,-0.595090
51.936000,3.413425,-0.593361
51.968000,3.413027,-0.586713
52.000000,3.412706,-0.588216
52.032000,3.412604,-0.587885
52.064000,3.413243,-0.580334
52.096000,3.413123,-0.577883
52.128000,3.412445,-0.576296
52.176000,3.412531,-0.571303
52.208000,3.412909,-0.569137
52.240000,3.412401,-0.561302
52.273000,3.412480,-0.557817
52.305000,3.412479,-0.555045
52.337000,3.413018,-0.550816
52.368000,3.412792,-0.549587
52.400000,3.413238,-0.546977
52.432000,3.412801,-0.543699
52.465000,3.413211,-0.540987
52.496000,3.412623,-0.531676
52.528000,3.412652,-0.528283
52.577000,3.412803,-0.525768
52.608000,3.414254,-0.523213
52.640000,3.413828,-0.519738
52.673000,3.412270,-0.517842
52.705000,3.409950,-0.512013
52.736000,3.412114,-0.511006
52.769000,3.413172,-0.508071
52.800000,3.412873,-0.505314
52.833000,3.412665,-0.503984
52.865000,3.412836,-0.499597
52.896000,3.412549,-0.496713
52.928000,3.413053,-0.493233
52.977000,3.413300,-0.489507
53.008000,3.413241,-0.487758
53.040000,3.413434,-0.484937
53.072000,3.413606,-0.482339
53.104000,3.413134,-0.474121
53.137000,3.413338,-0.472660
53.168000,3.413226,-0.467565
53.201000,3.413778,-0.460837
53.232000,3.413333,-0.455162
53.265000,3.413493,-0.451631
53.297000,3.414797,-0.448568
53.328000,3.415670,-0.445533
53.377000,3.414888,-0.443930
53.409000,3.413949,-0.439253
53.441000,3.413317,-0.434776
53.472000,3.414966,-0.430785
53.505000,3.416499,-0.425703
53.536000,3.416313,-0.424020
53.568000,3.415534,-0.421419
53.600000,3.414991,-0.418184
53.632000,3.415077,-0.416444
53.665000,3.414129,-0.412675
53.697000,3.413926,-0.409237
53.728000,3.414178,-0.405719
53.777000,3.415364,-0.401253
53.809000,3.415684,-0.396018
53.840000,3.415106,-0.394298
53.873000,3.414783,-0.389850
53.905000,3.416234,-0.385043
53.936000,3.416297,-0.382530
53.969000,3.415502,-0.381233
54.000000,3.414094,-0.380308
54.033000,3.414259,-0.377430
54.065000,3.414814,-0.374289
54.096000,3.414813,-0.368729
54.128000,3.416357,-0.364060
54.176000,3.416787,-0.360701
54.208000,3.416351,-0.356234
54.240000,3.414619,-0.352473
54.272000,3.413963,-0.350562
54.305000,3.415700,-0.346625
54.336000,3.417657,-0.342195
54.369000,3.416089,-0.341654
54.400000,3.413688,-0.339066
54.432000,3.413769,-0.336657
54.465000,3.415989,-0.330403
54.496000,3.417326,-0.326574
54.529000,3.417722,-0.323686
54.576000,3.417237,-0.319079
54.608000,3.416988,-0.316550
54.641000,3.416593,-0.314256
54.673000,3.416179,-0.310100
