Time (s),X (in),Y (in)
10.255000,3.768739,4.786640
10.287000,3.769304,4.825552
10.335000,3.769773,4.864127
10.367000,3.768099,4.903779
10.399000,3.768469,4.947275
10.432000,3.768573,4.990631
10.463000,3.766905,5.031723
10.495000,3.766089,5.074690
10.527000,3.765229,5.107035
10.559000,3.765828,5.159324
10.591000,3.766409,5.203187
10.623000,3.765405,5.251602
10.655000,3.764862,5.288261
10.687000,3.764569,5.332237
10.735000,3.764615,5.371153
10.767000,3.763961,5.402410
10.799000,3.763321,5.441634
10.831000,3.763692,5.488504
10.863000,3.763666,5.526933
10.895000,3.762390,5.570087
10.927000,3.761014,5.604375
